phiC,phiCsurf,phiS,phiSsurf,molar,molal,osm,gamma_per_vol,gamma,gammaC_per_vol,gammaC,ddA_nu,ddA_chi,ddA_eps,ddA,ddE_chi,ddE_eps,ddE,TddS_nu,TddS_chi,TddS_eps,TddS,ddA_nu_kJ,ddA_chi_kJ,ddA_eps_kJ,ddA_kJ,ddE_chi_kJ,ddE_eps_kJ,ddE_kJ,TddS_nu_kJ,TddS_chi_kJ,TddS_eps_kJ,TddS_kJ
0.0101,0.021502236380701437,0.9899,0.9784977636192985,0.22634574873380844,0.22865516590949428,0.22787812242132818,1.1289342951189545,38.391711085533956,-0.004646459853924164,-0.15801233522061844,-0.11019636918220058,0.0010301602869176355,0.27014499740403214,0.1609787885087492,-0.0010920583299083987,0.10805799896161285,0.10696594063170445,0.11019636918220058,-0.002122218616826034,-0.1620869984424193,-0.05401284787704476,-0.2730194387874831,0.0025522962823790996,0.6693036815083027,0.39883653900319865,-0.0027056531405478114,0.267721472603321,0.2650158194627732,0.2730194387874831,-0.005257949422926911,-0.40158220890498164,-0.13382071954042546
0.011099999999999999,0.023584291797905076,0.9889,0.9764157082020949,0.24875621890547264,0.251548406214453,0.250609373138357,1.1247109727842417,38.24808840386293,-0.0050925465478040945,-0.17318242221734198,-0.12078068840921818,0.0012349590164393589,0.2963030604685951,0.1767573310758163,-0.0013091625624915284,0.11852122418743805,0.11721206162494652,0.12078068840921818,-0.0025441215789308875,-0.17778183628115707,-0.05954526945086977,-0.2992428517434035,0.0030596998802776953,0.734112166131298,0.43792901426817227,-0.003243544508277261,0.29364486645251925,0.290401321944242,0.2992428517434035,-0.006303244388554957,-0.4404672996787788,-0.14752769232393026
0.0121,0.025658121333527333,0.9879,0.9743418786664727,0.27116668907713687,0.2744879938021428,0.27337154472762365,1.1205058953328377,38.10508617662561,-0.005536177474560917,-0.18826899584903503,-0.13130680940237843,0.0014565444933290527,0.32235777703844454,0.19250751212939515,-0.0015440621882071705,0.1289431108153778,0.12739904862717064,0.13130680940237843,-0.003000606681536223,-0.19341466622306674,-0.06510846350222455,-0.3253220743846696,0.003608693853426248,0.798664602372693,0.47695122184144967,-0.003825525243760816,0.31946584094907715,0.3156403157053163,0.3253220743846696,-0.0074342190971870645,-0.47919876142361584,-0.1613109061361333
0.0131,0.027723778795733983,0.9869,0.972276221204266,0.29357715924880107,0.2974740695600376,0.29616475225855426,1.1163189920407621,37.96270199870896,-0.005977367162811443,-0.2032725501909166,-0.14177488758141585,0.0016945092411383123,0.34830982313660164,0.2082294447963241,-0.0017963252470436619,0.13932392925464065,0.137527604007597,0.14177488758141585,-0.003490834488181974,-0.20898589388196098,-0.0707018407887271,-0.35125749177486365,0.004198268649585531,0.8629626651281965,0.5159034420029185,-0.0044505251349684595,0.3451850660512786,0.3407345409163101,0.35125749177486365,-0.00864879378455399,-0.517777599076918,-0.17516890108660832
0.0141,0.029781317704338464,0.9859,0.9702186822956615,0.31598762942046527,0.3205067749472211,0.31898911115054307,1.1121501917970544,37.820933451839835,-0.006416130082136528,-0.2181935773105677,-0.15218508167770042,0.0019484525355206973,0.3741598711633511,0.22392324202117136,-0.0020655269367966336,0.14966394846534045,0.14759842152854383,0.15218508167770042,-0.004013979472317331,-0.22449592269801064,-0.07632482049262754,-0.3770494971823836,0.004827431445335085,0.9270080203179262,0.5547859545808776,-0.005117491703853109,0.3708032081271705,0.3656857164233174,0.3770494971823836,-0.009944923149188194,-0.5562048121907557,-0.18910023815756027
0.015099999999999999,0.03183079128919331,0.9849,0.9681692087108067,0.33839809959212946,0.3435862519972884,0.3418447371743726,1.1079994231253847,37.67977810532001,-0.006852480642122558,-0.23303256723533514,-0.16253755362372183,0.00221798031037176,0.39990858987603156,0.2395890165626815,-0.002351249513570033,0.15996343595041262,0.1576121864368426,0.16253755362372183,-0.004569229823941793,-0.23994515392561894,-0.0819768301258389,-0.40269849180663175,0.005495205913528382,0.9908023248363392,0.5935990389432358,-0.005825389959834733,0.39632092993453566,0.39049553997470093,0.40269849180663175,-0.011320595873363114,-0.5944813949018035,-0.20310349896853486
0.0161,0.03387225248870303,0.9839,0.9661277475112969,0.36080856976379366,0.36671264332126596,0.36473174645364204,1.103866614205157,37.53923351674377,-0.007286433191446848,-0.24779000792122874,-0.17283246844494604,0.002502705064852044,0.42555664437035173,0.2552268809902577,-0.002653082193212211,0.17022265774814072,0.16756957555492852,0.17283246844494604,-0.005155787258064255,-0.255333986622211,-0.08765730543532924,-0.4282048845100819,0.006200631992935608,1.054347226505941,0.6323429739887948,-0.006573202155601165,0.4217388906023765,0.41516568844677537,0.4282048845100819,-0.012773834148536773,-0.6326083359035646,-0.21717728554201948
0.0171,0.035905753948454196,0.9829,0.9640942460515458,0.3832190399354579,0.38988609211054825,0.3876502554662018,1.0997516928920583,37.39929723269675,-0.007718002017005597,-0.26246638522326554,-0.18306999415397845,0.002802245771301644,0.45110469606318016,0.27083694768050337,-0.0029706210536973986,0.18044187842527204,0.17747125737157465,0.18306999415397845,-0.005772866824999043,-0.2706628176379081,-0.09336569030892872,-0.4535690915560607,0.006942765660095357,1.1176443640346454,0.6710180381386801,-0.007359927545251171,0.44705774561385814,0.43969781806860697,0.4535690915560607,-0.014302693205346528,-0.6705866184207873,-0.23132022007007313
0.0181,0.03793134801996032,0.9819,0.9620686519800397,0.4056295101071221,0.41310674213985343,0.41060038104559643,1.095654586738139,37.25996678943879,-0.008147201343083643,-0.27706218286723555,-0.19325030164700946,0.003116227784053846,0.4765534026767754,0.28641932881381976,-0.003303468938460446,0.19062136107071018,0.18731789213224972,0.19325030164700946,-0.006419696722514292,-0.2859320416060652,-0.09910143668157007,-0.4787915363521845,0.007720678703393855,1.1806953669767037,0.7096245093279131,-0.008184582144799323,0.47227814679068153,0.4640935646458822,0.4787915363521845,-0.01590526084819318,-0.7084172201860222,-0.2455309446820308
0.0191,0.03994908675951701,0.9809,0.960050913240483,0.42803998027878626,0.436374737770197,0.43358224038251403,1.0915752230113618,37.12123971356877,-0.008574045330564488,-0.2915778824228374,-0.203373564602499,0.003444282749154364,0.5019034182244035,0.3019741363710589,-0.0036512353606915574,0.2007613672897614,0.19711013192906984,0.203373564602499,-0.007095518109845921,-0.30114205093464214,-0.10486400444198907,-0.5038726491993427,0.008533458499387876,1.243501855697072,0.7481626649971171,-0.009046198495059303,0.4974007422788287,0.4883545437837694,0.5038726491993427,-0.017579656994447176,-0.7461011134182434,-0.25980812121334784
0.0201,0.041959021927165344,0.9799,0.9580409780728346,0.4504504504504505,0.4596902239518832,0.45659595102624334,1.0875135287146935,36.983113522673825,-0.008998548076180087,-0.30601396327816544,-0.21343995938210394,0.0037860485149933116,0.5271553929973141,0.31750148213020346,-0.004013536408598117,0.21086215719892562,0.2068486207903275,0.21343995938210394,-0.007799584923591429,-0.3162932357983884,-0.1106528613398759,-0.528812867046238,0.009380207791389008,1.3060654413391415,0.7866327820842925,-0.009943825426923254,0.5224261765356565,0.5124823511087332,0.528812867046238,-0.01932403321831226,-0.783639264803485,-0.27415043097555925
0.0211,0.043961204985758284,0.9789,0.9560387950142417,0.4728609206221147,0.48305334622751517,0.4796416308861385,1.0834694306046582,36.84558572596031,-0.009420723611798413,-0.3203709026154822,-0.22344966493372936,0.004141169043853459,0.5523099735530108,0.3330014776631349,-0.004389994651638574,0.22092398942120434,0.21653399476956575,0.22344966493372936,-0.008531163695492033,-0.3313859841318065,-0.11646748289356915,-0.5536126332491896,0.010260044470318103,1.36838772579568,0.8250351370168085,-0.010876527829049486,0.547355090318272,0.5364785624892225,0.5536126332491896,-0.02113657229936759,-0.821032635477408,-0.288556574527586
0.022099999999999998,0.04595568710012764,0.9779,0.9540443128998723,0.49527139079377885,0.5064642507350228,0.5027193982330913,1.0794428552093953,36.70865382486791,-0.009840585903748204,-0.33464917538825506,-0.23340286269673408,0.004509294324380005,0.5773678027047857,0.34847423433243163,-0.004780239047733309,0.23094712108191434,0.22616688203418103,0.23340286269673408,-0.009289533372113315,-0.3464206816228714,-0.12230735229825063,-0.5782723973372729,0.011172101357842818,1.4304703016829015,0.8633700057034714,-0.011843386417970711,0.5721881206731607,0.56034473425519,0.5782723973372729,-0.02301548777581353,-0.8582821810097407,-0.3030252714482814
0.0231,0.047942519136361,0.9769,0.952057480863639,0.5176818609654431,0.5299230842107104,0.5258293717010099,1.0754337288467966,36.57231531368638,-0.01025814885218495,-0.3488492542995951,-0.24329973650939032,0.0048900802849810845,0.6023295195126354,0.3639198632882261,-0.00518390485146067,0.24093180780505413,0.23574790295359346,0.24329973650939032,-0.010073985136441754,-0.3613977117075812,-0.12817196033463266,-0.6027926147830431,0.012115525991821155,1.492314752317959,0.901637663526737,-0.012843497510643115,0.5969259009271836,0.5840824034165405,0.6027926147830431,-0.02495902350246427,-0.8953888513907754,-0.3175552601101965
0.0241,0.04992175166114481,0.9759,0.9500782483388552,0.5400923311371073,0.5534299939923222,0.5489716702883071,1.0714419776408635,36.436567680111864,-0.010673426290480289,-0.36297160978149273,-0.2531404725180249,0.005283188708144789,0.6271957592750063,0.3793384754651261,-0.0056006335232264655,0.2508783037100025,0.24527767018677607,0.2531404725180249,-0.010883822231371253,-0.37631745556500373,-0.13406080527835007,-0.627173746777428,0.013089480414015702,1.5539226516984959,0.9398383853350836,-0.013875972799407242,0.6215690606793983,0.6076930878799911,0.627173746777428,-0.026965453213422946,-0.9323535910190975,-0.33214529745509247
0.0251,0.051893434941231414,0.9749,0.9481065650587686,0.5625028013087715,0.5769851280221269,0.5721464133593949,1.0674675275391006,36.30140840583835,-0.011086431984658997,-0.37701670997567066,-0.26292525908863035,0.005688287145700422,0.6519671535221007,0.3947301815791707,-0.006030072639433484,0.2607868614088403,0.2547567887694068,0.26292525908863035,-0.011718359785133907,-0.3911802921132604,-0.13997339280976395,-0.651416260010736,0.014093140960147287,1.615295564486058,0.9779724454354692,-0.014939939129426495,0.6461182257944232,0.6311782866649968,0.651416260010736,-0.02903308008957378,-0.9691773386916348,-0.3467941587704725
0.0261,0.053857618942977976,0.9739,0.946142381057022,0.5849132714804358,0.6005886348500212,0.5953537206461857,1.0635103043286576,36.16683496710666,-0.01149717963286223,-0.39098502071533103,-0.2726542867202267,0.0061050488350047685,0.6766443300100822,0.4100950921248603,-0.006471875803631669,0.27065773200403287,0.2641858562004012,0.2726542867202267,-0.012576924638636439,-0.4059865980060493,-0.14590923592445904,-0.6755206264580054,0.015125698052240434,1.6764350459917394,1.0160401175859746,-0.016034538278555322,0.6705740183966957,0.6545394801181404,0.6755206264580054,-0.031160236330795756,-1.0058610275950437,-0.3615006374678341
0.0271,0.0558143533319753,0.9729,0.9441856466680247,0.6073237416520999,0.6242406636366531,0.6185937122496049,1.0595702336522248,36.03284483524495,-0.011905682864844756,-0.4048770055080576,-0.2823277479602455,0.0065331526160650405,0.7012279127164137,0.4254333173722332,-0.006925702558661194,0.2804911650865655,0.2735654625279043,0.2823277479602455,-0.013458855174726236,-0.4207367476298482,-0.1518678548443289,-0.6994873231693614,0.016186355993289495,1.7373426421646305,1.0540416749885586,-0.017158926739667332,0.6949370568658524,0.677778130126185,0.6994873231693614,-0.033345282732956824,-1.0424055852987781,-0.37626354486237357
0.0281,0.05776368747276025,0.9719,0.9422363125272397,0.6297342118237641,0.6479413641565634,0.6418665086411058,1.0556472410234965,35.89943547719463,-0.012311955241503782,-0.4186931255197923,-0.2919458373218491,0.006972282849595401,0.7257185218362434,0.4407449673639897,-0.0073912182997856075,0.2902874087344973,0.2828961904347117,0.2919458373218491,-0.014363501149381008,-0.4354311131017461,-0.157848776929278,-0.7233168320651683,0.017274332764237777,1.7980198895828652,1.0919773902819347,-0.018312275505436428,0.719207955833146,0.7008956803277095,0.7233168320651683,-0.035586608269674205,-1.0788119337497193,-0.3910817099542252
0.0291,0.05970567042860912,0.9709,0.9402943295713909,0.6521446819954284,0.6716908868013475,0.6651722306641982,1.051741251842238,35.7666043560227,-0.012716010254438496,-0.4324338395598567,-0.3015087512031327,0.00742212933600815,0.7501167737798096,0.45603015191268503,-0.007868094188815537,0.30004670951192386,0.29217861532310835,0.3015087512031327,-0.015290223524823687,-0.4500700642678857,-0.16385153658957669,-0.7470096397358478,0.018388859823272385,1.8584683154471904,1.1298475355346151,-0.019493769855572086,0.7433873261788763,0.7238935563233042,0.7470096397358478,-0.03788262967884447,-1.1150809892683142,-0.40595397921131093
0.0301,0.06164035096140921,0.9699,0.9383596490385908,0.6745551521670925,0.6954893825828359,0.6885109995359802,1.0478521914089438,35.634348931420256,-0.013117861325539402,-0.4460996040669866,-0.311016687808205,0.007882387235340196,0.7744232811708265,0.47128898059796165,-0.008356007069223232,0.30976931246833056,0.3014133053991073,0.311016687808205,-0.016238394304563426,-0.4646539687024959,-0.16987567519885433,-0.7705662372463502,0.019529181907436282,1.918689437576967,1.1676523822380531,-0.02070260914650954,0.7674757750307868,0.7467731658842772,0.7705662372463502,-0.04023179105394582,-1.1512136625461802,-0.4208792163537758
0.0311,0.06356777753160568,0.9689,0.9364322224683943,0.6969656223387567,0.7193370031362952,0.7118829368486805,1.0439799849390896,35.50266666018718,-0.01351752180660647,-0.45969087309634643,-0.3204698470700777,0.008352756988110674,0.7986386528458169,0.4865215627638499,-0.00885463938224606,0.3194554611383268,0.3106008217560807,0.3204698470700777,-0.017207396370356735,-0.47918319170749013,-0.17592074100776917,-0.7939871199451065,0.020694556836547338,1.9786847644085164,1.2053922012999572,-0.02193800660355014,0.7914739057634066,0.7695358991598564,0.7939871199451065,-0.04263256344009748,-1.1872108586451098,-0.43585630214010074
0.032100000000000004,0.06548799829822201,0.9679,0.934512001701778,0.719376092510421,0.7432339007236501,0.7352881645712076,1.0401245575770097,35.37155499670402,-0.01391500497899559,-0.473208098307506,-0.32986843057535886,0.008832944237112337,0.8227634938543695,0.501728007516123,-0.009363679083977427,0.32910539754174783,0.3197417184577704,0.32986843057535886,-0.018196623321089764,-0.4936580963126217,-0.18198628905835262,-0.8172727872774531,0.02188425531943089,2.038455794995758,1.2430672630377357,-0.023199189115448122,0.8153823179983033,0.7921831288828551,0.8172727872774531,-0.04508344443487901,-1.2230734769974547,-0.4508841341548806
0.033100000000000004,0.06740106111895104,0.9669,0.9325989388810489,0.7417865626820852,0.7671802282367206,0.7587268050507077,1.0362858344093966,35.24101139339111,-0.014310324053292264,-0.48665172895334396,-0.3392126414907264,0.00932265975013141,0.846798405460282,0.516908423719687,-0.00988281956344406,0.3387193621841128,0.32883654262066875,0.3392126414907264,-0.01920547931357547,-0.5080790432761692,-0.18807188109901823,-0.840423742603462,0.02309756076245258,2.098004019013042,1.2806778371720324,-0.024485397031441227,0.8392016076052168,0.8147162105737755,0.840423742603462,-0.04758295779389381,-1.258802411407825,-0.4659616265982567
