concentration,dG,dH,TdS
0.0,0.0,0.0,0.0
0.35503,-0.07822,-0.201105,0.001979
0.64347,-0.24018,-0.743476,-0.003283
0.88245,-0.37435,-1.199538,-0.001529
1.08369,-0.46803,-1.503498,-0.005116
1.25547,-0.59688,-1.530653,-0.00493
