concentration,dG,dH,TdS
0.25248,-0.13921870961313718,0.15638,0.43614
0.331275275,-0.11864,0.34316458823639984,0.6251817139180317
0.49657,-0.0912397626631492,0.5924,0.96617
0.653711811,-0.27213,0.7355335461465029,1.1017815378768607
0.75243,-0.47311432767985934,0.73278,1.23512
0.971941051,-0.53398,0.714728727583635,1.2319341711437068
1.0074,-0.34858,0.7376076438587458,1.2391918080174056
1.281386631,-0.44781,0.7284339972412356,1.2366335954939964
1.49115,-0.28659,0.7248451410517502,1.257526849067753
1.584543193,-0.69334,0.7428780059722672,1.2224549935777846
1.871961742,-0.7007,0.7607632934686918,1.255014682558963
1.98683,-0.72279,0.7389916576689891,1.2143334516967101
